,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage
35,Celerio X,Indore,35 days,"5,70,360",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
36,Celerio X,Lucknow,35 days,"5,59,110",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
37,Celerio X,Chandigarh,28 days,"5,49,207",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
38,Celerio X,Chennai,28 days,"5,69,501",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
39,Celerio X,Kolkata,28 days,"5,49,697",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
40,Celerio X,Patna,21 days,"5,70,370",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
41,Celerio X,Mumbai,20 days,"5,76,189",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
42,Celerio X,Pune,15 days,"5,74,452",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
43,Celerio X,Ahmedabad,0 days,"5,51,851",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
44,Celerio X,Delhi,0 days,"5,35,587",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
45,Celerio X,Hyderabad,0 days,"5,74,592",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0
46,Ciaz,Hyderabad,45 days,"9,94,425",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
47,Ciaz,Chandigarh,42 days,"9,24,821",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
48,Ciaz,Mumbai,42 days,"9,60,529",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
49,Ciaz,Chennai,30 days,"9,57,392",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
50,Ciaz,Delhi,30 days,"9,29,062",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
51,Ciaz,Gurugram,30 days,"9,36,789",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
52,Ciaz,Noida,30 days,"9,35,513",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
53,Ciaz,Patna,30 days,"9,56,534",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
54,Ciaz,Ahmedabad,28 days,"9,19,200",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
55,Ciaz,Lucknow,28 days,"9,38,291",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
56,Ciaz,Jaipur,25 days,"9,62,313",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
57,Ciaz,Pune,21 days,"9,65,712",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
58,Ciaz,Kolkata,15 days,"9,24,113",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
59,Ciaz,Indore,14 days,"9,38,001",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
60,Ciaz,Bengaluru,10 days,"10,28,029",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0
61,Dzire,Gurugram,56 days,"6,49,760",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
62,Dzire,Bengaluru,45 days,"7,02,688",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
63,Dzire,Indore,35 days,"6,68,849",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
64,Dzire,Lucknow,35 days,"6,68,791",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
65,Dzire,Chandigarh,28 days,"6,57,011",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
66,Dzire,Chennai,28 days,"6,81,178",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
67,Dzire,Jaipur,28 days,"6,81,724",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0
