,Unnamed: 0,car,location,delay,price
110,110,Ignis,Hyderabad,45 days,"5,91,363"
111,111,Baleno,Hyderabad,45 days,"6,86,687"
112,112,Ciaz,Hyderabad,45 days,"9,94,425"
113,113,S-Cross,Hyderabad,45 days,"10,52,572"
114,114,Ignis,Pune,2 weeks,"5,72,755"
115,115,Baleno,Pune,3 weeks,"6,65,970"
116,116,Ciaz,Pune,3 weeks,"9,65,712"
117,117,S-Cross,Pune,3 weeks,"10,39,192"
118,118,Ignis,Chennai,1 month,"5,67,862"
119,119,Baleno,Chennai,1 month,"6,60,264"
120,120,Ciaz,Chennai,1 month,"9,57,392"
121,121,S-Cross,Chennai,1 month,"10,12,771"
122,122,Ignis,Jaipur,25 days,"5,67,781"
123,123,Baleno,Jaipur,25 days,"6,58,874"
124,124,Ciaz,Jaipur,25 days,"9,62,313"
125,125,S-Cross,Jaipur,25 days,"10,45,118"
126,126,Ignis,Ahmedabad,4 weeks,"5,48,289"
127,127,Baleno,Ahmedabad,4 weeks,"6,41,352"
128,128,Ciaz,Ahmedabad,4 weeks,"9,19,200"
129,129,S-Cross,Ahmedabad,4 weeks,"9,72,181"
130,130,Ignis,Lucknow,4 weeks,"5,59,367"
131,131,Baleno,Lucknow,4 weeks,"6,49,252"
132,132,Ciaz,Lucknow,4 weeks,"9,38,291"
133,133,S-Cross,Lucknow,4 weeks,"9,94,249"
134,134,Ignis,Kolkata,15 days,"5,48,289"
135,135,Baleno,Kolkata,15 days,"6,37,440"
136,136,Ciaz,Kolkata,15 days,"9,24,113"
137,137,S-Cross,Kolkata,15 days,"9,77,544"
138,138,Ignis,Chandigarh,No waiting,"5,47,785"
139,139,Baleno,Chandigarh,6 weeks,"6,36,109"
140,140,Ciaz,Chandigarh,6 weeks,"9,24,821"
141,141,S-Cross,Chandigarh,No waiting,"9,77,800"
142,142,Ignis,Patna,1 month,"5,62,464"
143,143,Baleno,Patna,1 month,"6,53,969"
144,144,Ciaz,Patna,1 month,"9,56,534"
145,145,S-Cross,Patna,1 month,"10,11,863"
146,146,Ignis,Indore,2 weeks,"5,60,683"
147,147,Baleno,Indore,4 weeks,"6,51,245"
148,148,Ciaz,Indore,2 weeks,"9,38,001"
149,149,S-Cross,Indore,2 weeks,"9,93,773"
