,Unnamed: 0,Unnamed: 0.1,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage
21,21,21,Dzire,Bengaluru,45 days,"7,02,688",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
22,22,22,Ertiga,Bengaluru,10 weeks,"9,01,545",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
23,23,23,Vitara Brezza,Bengaluru,7 weeks,"8,72,303",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
24,24,24,Celerio,Mumbai,15 days,"5,20,584",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
25,25,25,Celerio X,Mumbai,20 days,"5,76,189",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
26,26,26,Swift,Mumbai,1 month,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
27,27,27,Dzire,Mumbai,3 weeks,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
28,28,28,Ertiga,Mumbai,4 weeks,"8,82,572",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
29,29,29,Vitara Brezza,Mumbai,10 days,"8,53,418",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
30,30,30,Celerio,Hyderabad,No Waiting,"5,22,419",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
31,31,31,Celerio X,Hyderabad,No Waiting,"5,74,592",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
32,32,32,Swift,Hyderabad,2 weeks,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
33,33,33,Dzire,Hyderabad,No Waiting,"6,80,052",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
34,34,34,Ertiga,Hyderabad,7 weeks,"8,81,828",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
35,35,35,Vitara Brezza,Hyderabad,2 weeks,"8,53,490",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
36,36,36,Celerio,Pune,15 days,"5,18,457",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
37,37,37,Celerio X,Pune,15 days,"5,74,452",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
38,38,38,Swift,Pune,15 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
39,39,39,Dzire,Pune,15 days,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
40,40,40,Ertiga,Pune,15 days,"8,82,025",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
41,41,41,Vitara Brezza,Pune,15 days,"8,53,355",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
42,42,42,Celerio,Chennai,4 weeks,"5,13,995",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
43,43,43,Celerio X,Chennai,4 weeks,"569,501",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
44,44,44,Swift,Chennai,4 weeks,"519,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
45,45,45,Dzire,Chennai,4 weeks,"6,81,178",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
46,46,46,Ertiga,Chennai,4 weeks,"8,74,435",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
47,47,47,Vitara Brezza,Chennai,4 weeks,"8,46,015",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
48,48,48,Celerio,Jaipur,2 weeks,"5,16,554",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
49,49,49,Celerio X,Jaipur,6 weeks,"5,70,349",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
50,50,50,Swift,Jaipur,4 weeks,"5,18,690",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
51,51,51,Dzire,Jaipur,4 weeks,"6,81,724",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
52,52,52,Ertiga,Jaipur,4 weeks,"8,82,158",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
53,53,53,Vitara Brezza,Jaipur,4 weeks,"8,52,874",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
54,54,54,Celerio,Ahmedabad,No Waiting,"4,98,599",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
55,55,55,Celerio X,Ahmedabad,No Waiting,"5,51,851",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
56,56,56,Swift,Ahmedabad,No Waiting,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
57,57,57,Dzire,Ahmedabad,No Waiting,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
58,58,58,Ertiga,Ahmedabad,1 month,"8,42,708",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
59,59,59,Vitara Brezza,Ahmedabad,No Waiting,"8,12,918",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
60,60,60,Celerio,Lucknow,5 weeks,"5,04,631",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
61,61,61,Celerio X,Lucknow,5 weeks,"5,59,110",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
62,62,62,Swift,Lucknow,5 weeks,"519,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
63,63,63,Dzire,Lucknow,5 weeks,"6,68,791",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
64,64,64,Ertiga,Lucknow,5 weeks,"8,58,472",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
65,65,65,Vitara Brezza,Lucknow,5 weeks,"8,30,578",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
66,66,66,Celerio,Kolkata,6 weeks,"4,96,147",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
67,67,67,Celerio X,Kolkata,4 weeks,"5,49,697",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
68,68,68,Swift,Kolkata,4 weeks,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
69,69,69,Dzire,Kolkata,2 weeks,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
70,70,70,Ertiga,Kolkata,3 weeks,"8,44,075",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
71,71,71,Vitara Brezza,Kolkata,4 weeks,"8,16,655",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
72,72,72,Celerio,Chandigarh,4 weeks,"4,95,707",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
73,73,73,Celerio X,Chandigarh,4 weeks,"5,49,207",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
74,74,74,Swift,Chandigarh,4 weeks,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
75,75,75,Dzire,Chandigarh,4 weeks,"6,57,011",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
76,76,76,Ertiga,Chandigarh,4 weeks,"8,43,292",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
77,77,77,Vitara Brezza,Chandigarh,2 weeks,"8,15,898",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
78,78,78,Celerio,Patna,No waiting,"5,15,355",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
79,79,79,Celerio X,Patna,3 weeks,"5,70,370",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
80,80,80,Swift,Patna,4 weeks,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
81,81,81,Dzire,Patna,4 weeks,"6,81,865",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
82,82,82,Ertiga,Patna,17 weeks,"8,73,791",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
83,83,83,Vitara Brezza,Patna,9 weeks,"8,51,440",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
84,84,84,Celerio,Indore,5 weeks,"5,14,606",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",
85,85,85,Celerio X,Indore,5 weeks,"5,70,360",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",
86,86,86,Swift,Indore,5 weeks,"5,19,052",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,nan,
87,87,87,Dzire,Indore,5 weeks,"6,68,849",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",
88,88,88,Ertiga,Indore,12 weeks,"8,64,315",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",
89,89,89,Vitara Brezza,Indore,5 weeks,"8,39,799",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",
90,90,90,Ignis,Delhi,1 month,"5,39,920",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
91,91,91,Baleno,Delhi,1 month,"6,18,997",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
92,92,92,Ciaz,Delhi,1 month,"9,29,062",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
93,93,93,S-Cross,Delhi,1 month,"10,00,437",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
94,94,94,Ignis,Gurugram,1 month,"5,44,365",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
95,95,95,Baleno,Gurugram,6 weeks,"6,24,232",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
96,96,96,Ciaz,Gurugram,1 month,"9,36,789",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
97,97,97,S-Cross,Gurugram,1 month,"9,93,083",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
98,98,98,Ignis,Noida,1 month,"5,57,571",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
99,99,99,Baleno,Noida,1 month,"6,38,538",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
100,100,100,Ciaz,Noida,1 month,"9,35,513",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
101,101,101,S-Cross,Noida,1 month,"9,90,129",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
102,102,102,Ignis,Bengaluru,10 days,"6,05,963",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
103,103,103,Baleno,Bengaluru,10 days,"7,12,141",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
104,104,104,Ciaz,Bengaluru,10 days,"10,28,029",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
105,105,105,S-Cross,Bengaluru,10 days,"10,61,561",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
106,106,106,Ignis,Mumbai,6 weeks,"5,67,805",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
107,107,107,Baleno,Mumbai,6 weeks,"6,64,625",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
108,108,108,Ciaz,Mumbai,6 weeks,"9,60,529",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
109,109,109,S-Cross,Mumbai,6 weeks,"10,36,696",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
110,110,110,Ignis,Hyderabad,45 days,"5,91,363",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
111,111,111,Baleno,Hyderabad,45 days,"6,86,687",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
112,112,112,Ciaz,Hyderabad,45 days,"9,94,425",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
113,113,113,S-Cross,Hyderabad,45 days,"10,52,572",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
114,114,114,Ignis,Pune,2 weeks,"5,72,755",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
115,115,115,Baleno,Pune,3 weeks,"6,65,970",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
116,116,116,Ciaz,Pune,3 weeks,"9,65,712",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
117,117,117,S-Cross,Pune,3 weeks,"10,39,192",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
118,118,118,Ignis,Chennai,1 month,"5,67,862",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
119,119,119,Baleno,Chennai,1 month,"6,60,264",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
120,120,120,Ciaz,Chennai,1 month,"9,57,392",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
121,121,121,S-Cross,Chennai,1 month,"10,12,771",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
122,122,122,Ignis,Jaipur,25 days,"5,67,781",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
123,123,123,Baleno,Jaipur,25 days,"6,58,874",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
124,124,124,Ciaz,Jaipur,25 days,"9,62,313",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
125,125,125,S-Cross,Jaipur,25 days,"10,45,118",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
126,126,126,Ignis,Ahmedabad,4 weeks,"5,48,289",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
127,127,127,Baleno,Ahmedabad,4 weeks,"6,41,352",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
128,128,128,Ciaz,Ahmedabad,4 weeks,"9,19,200",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
129,129,129,S-Cross,Ahmedabad,4 weeks,"9,72,181",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
130,130,130,Ignis,Lucknow,4 weeks,"5,59,367",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
131,131,131,Baleno,Lucknow,4 weeks,"6,49,252",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
132,132,132,Ciaz,Lucknow,4 weeks,"9,38,291",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
133,133,133,S-Cross,Lucknow,4 weeks,"9,94,249",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
134,134,134,Ignis,Kolkata,15 days,"5,48,289",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
135,135,135,Baleno,Kolkata,15 days,"6,37,440",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
136,136,136,Ciaz,Kolkata,15 days,"9,24,113",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
137,137,137,S-Cross,Kolkata,15 days,"9,77,544",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
138,138,138,Ignis,Chandigarh,No waiting,"5,47,785",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
139,139,139,Baleno,Chandigarh,6 weeks,"6,36,109",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
140,140,140,Ciaz,Chandigarh,6 weeks,"9,24,821",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
141,141,141,S-Cross,Chandigarh,No waiting,"9,77,800",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
142,142,142,Ignis,Patna,1 month,"5,62,464",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
143,143,143,Baleno,Patna,1 month,"6,53,969",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
144,144,144,Ciaz,Patna,1 month,"9,56,534",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",
145,145,145,S-Cross,Patna,1 month,"10,11,863",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl
146,146,146,Ignis,Indore,2 weeks,"5,60,683",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,nan,14.65 kmpl
